Completed,PatternID,Score,ElapsedTime
1,0,601.5999999999998,0.9587771892547607
4,3,602.8000000000001,0.9962999820709229
5,5,602.9,1.0023865699768066
8,8,608.1999999999999,1.0244114398956299
22,25,609.4,1.0873513221740723
29,28,610.6999999999998,1.100893259048462
219,218,612.3999999999999,1.7409453392028809
288,288,612.6999999999999,1.9836583137512207
425,423,613.6999999999998,2.456935167312622
803,798,613.8999999999999,3.7401163578033447
945,943,614.8999999999999,4.25947904586792
1681,1678,615.3,6.797954082489014
3701,3700,615.5,14.004237413406372
